	index_x	X_x	Y_x	violation_address	query_id_x	placekey	index_y	X_y	Y_y	address	query_id_y
0	4	-83.1344660399999	42.389668081	4024 CLEMENTS	4	@63v-4hz-skf	375	-83.1338454	42.3899489	3826 CLEMENTS	375
1	12			14214 JEFFERSON	12		66			524 E KIRBY	66
2	12			14214 JEFFERSON	12		67			524 E KIRBY	67
3	12			14214 JEFFERSON	12		83			16300 PLYMOUTH	83
4	12			14214 JEFFERSON	12		182			14051 PREVOST	182
5	12			14214 JEFFERSON	12		186			771 ABERTON AVE 65	186
6	12			14214 JEFFERSON	12		197			660 FAIRVIEW 7	197
7	12			14214 JEFFERSON	12		221			13468 BLOOM	221
8	12			14214 JEFFERSON	12		360			18836 HELEN	360
9	12			14214 JEFFERSON	12		367			18200 W MCNICHOLS	367
10	12			14214 JEFFERSON	12		368			5815 FLORIDA	368
11	12			14214 JEFFERSON	12		369			1001 W JEFFERSON 300/26D	369
12	12			14214 JEFFERSON	12		410			15798 LIVERNOIS	410
13	12			14214 JEFFERSON	12		411			15760 LIVERNOIS	411
14	12			14214 JEFFERSON	12		412			15792 LIVERNOIS	412
15	12			14214 JEFFERSON	12		413			15786 LIVERNOIS	413
16	12			14214 JEFFERSON	12		414			15780 LIVERNOIS	414
17	12			14214 JEFFERSON	12		415			15774 LIVERNOIS	415
18	12			14214 JEFFERSON	12		416			15768 LIVERNOIS	416
19	12			14214 JEFFERSON	12		431			640 CLAIRPOINTE WOODS DR	431
20	12			14214 JEFFERSON	12		439			18200 W MCNICHOLS	439
21	12			14214 JEFFERSON	12		444			1001 W JEFFERSON 300/8H	444
22	12			14214 JEFFERSON	12		467			17040 E EIGHT MILE	467
23	12			14214 JEFFERSON	12		481			1222 DRAGOON	481
24	12			14214 JEFFERSON	12		491			720 BURLINGAME	491
25	12			14214 JEFFERSON	12		544			461 NEW TOWN	544
26	12			14214 JEFFERSON	12		549			11664 ARCHDALE	549
27	12			14214 JEFFERSON	12		563			444 W WILLIS 24/211	563
28	12			14214 JEFFERSON	12		614			16808 SHAFTSBURY	614
29	12			14214 JEFFERSON	12		631			4212 UNIVERSITY PL	631
30	12			14214 JEFFERSON	12		642			16560 STOEPEL	642
31	12			14214 JEFFERSON	12		664			17196 NORTHLAWN	664
